source,dataset,k,margin
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,1
real,wine,1,-1
real,wine,1,-1
real,wine,1,-1
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-1
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-1
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,3
real,wine,3,-3
real,wine,3,-3
real,wine,3,-3
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-3
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,1
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-3
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,5
real,wine,5,-5
real,wine,5,-5
real,wine,5,5
real,wine,5,-5
real,wine,5,-3
real,wine,5,-5
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-1
real,wine,7,7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,7
real,wine,7,-7
real,wine,7,1
real,wine,7,-7
real,wine,7,7
real,wine,7,7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,5
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,7
real,wine,7,3
real,wine,7,-7
real,wine,7,-7
real,wine,7,-5
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,5
real,wine,7,5
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-7
real,wine,7,-5
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,7
real,wine,7,-7
real,wine,7,-7
real,wine,7,7
real,wine,7,-7
real,wine,7,-5
real,wine,7,-7
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-3
real,wine,9,9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-7
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,9
real,wine,9,-9
real,wine,9,3
real,wine,9,-9
real,wine,9,9
real,wine,9,9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,7
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-9
real,wine,9,9
real,wine,9,5
real,wine,9,-9
real,wine,9,-9
real,wine,9,-3
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,7
real,wine,9,7
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-9
real,wine,9,-5
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,9
real,wine,9,-9
real,wine,9,-9
real,wine,9,9
real,wine,9,-7
real,wine,9,-5
real,wine,9,-9
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,-9
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-5
real,wine,11,11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-9
real,wine,11,-11
real,wine,11,-11
real,wine,11,-9
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,11
real,wine,11,-11
real,wine,11,5
real,wine,11,-11
real,wine,11,11
real,wine,11,11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,9
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-11
real,wine,11,11
real,wine,11,7
real,wine,11,-11
real,wine,11,-11
real,wine,11,-3
real,wine,11,-9
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,7
real,wine,11,9
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-11
real,wine,11,-5
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,11
real,wine,11,-11
real,wine,11,-11
real,wine,11,11
real,wine,11,-9
real,wine,11,-7
real,wine,11,-11
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,-15
real,wine,15,-13
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,-15
real,wine,15,-13
real,wine,15,-7
real,wine,15,15
real,wine,15,15
real,wine,15,-15
real,wine,15,-13
real,wine,15,15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-9
real,wine,15,-13
real,wine,15,-15
real,wine,15,-9
real,wine,15,15
real,wine,15,-13
real,wine,15,-15
real,wine,15,15
real,wine,15,-15
real,wine,15,-13
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,15
real,wine,15,-15
real,wine,15,5
real,wine,15,-15
real,wine,15,15
real,wine,15,13
real,wine,15,-15
real,wine,15,13
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,9
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,-15
real,wine,15,15
real,wine,15,11
real,wine,15,-13
real,wine,15,-15
real,wine,15,-3
real,wine,15,-11
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,9
real,wine,15,11
real,wine,15,15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-15
real,wine,15,-9
real,wine,15,-15
real,wine,15,-15
real,wine,15,13
real,wine,15,15
real,wine,15,-15
real,wine,15,-15
real,wine,15,15
real,wine,15,-11
real,wine,15,-11
real,wine,15,-15
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,-1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,1,1
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-1
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-1
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,1
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,1
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,-1
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,1
real,breast_cancer,3,1
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,-3
real,breast_cancer,3,3
real,breast_cancer,3,3
real,breast_cancer,3,1
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-3
real,breast_cancer,5,-3
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-3
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,1
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-1
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,3
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-3
real,breast_cancer,5,-1
real,breast_cancer,5,1
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,5
real,breast_cancer,5,-3
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,-5
real,breast_cancer,5,5
real,breast_cancer,5,1
