k,n_vertices,duplicate_ratio,conflict_ratio,noise_ratio,n_trials,separation_frequency,separation_ci,mean_vulnerable_query_rate,vuln_rate_ci,mean_max_loo,mean_max_replace_one
5,2,0.0,0.0,0.0,20,0.35,0.2090411442754751,0.6,0.20321712526261168,0.3,0.65
5,2,0.0,0.0,0.1,20,0.45,0.2180362355206125,0.75,0.147,0.45,0.9
5,2,0.0,0.3,0.0,20,0.65,0.2090411442754751,0.825,0.10452057213773758,0.35,1.0
5,2,0.0,0.3,0.1,20,0.5,0.21913466179497937,0.55,0.18202692108586577,0.2,0.7
5,2,0.3,0.0,0.0,20,0.35,0.2090411442754751,0.475,0.1894596263059758,0.25,0.6
5,2,0.3,0.0,0.1,20,0.5,0.21913466179497937,0.675,0.18690786500305437,0.25,0.75
5,2,0.3,0.3,0.0,20,0.35,0.2090411442754751,0.775,0.14659109795618558,0.55,0.9
5,2,0.3,0.3,0.1,20,0.4,0.2147072425420251,0.575,0.19934028694671832,0.25,0.65
5,2,0.6,0.0,0.0,20,0.4,0.2147072425420251,0.45,0.19477114776064752,0.15,0.55
5,2,0.6,0.0,0.1,20,0.4,0.2147072425420251,0.725,0.17633193131137648,0.4,0.8
5,2,0.6,0.3,0.0,20,0.45,0.2180362355206125,0.725,0.1763319313113765,0.35,0.8
5,2,0.6,0.3,0.1,20,0.5,0.21913466179497937,0.675,0.18690786500305437,0.25,0.75
1,3,0.0,0.0,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,3,0.0,0.0,0.0,40,0.45,0.15417490068101228,0.6833333333333333,0.11304271562358874,0.4,0.85
1,3,0.0,0.0,0.1,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,3,0.0,0.0,0.1,40,0.45,0.15417490068101228,0.7333333333333333,0.10635496122785139,0.45,0.9
1,3,0.0,0.3,0.0,40,0.125,0.10249085325042426,1.0,0.0,0.875,1.0
3,3,0.0,0.3,0.0,40,0.45,0.15417490068101228,0.8333333333333334,0.08328398538868216,0.525,0.975
1,3,0.0,0.3,0.1,40,0.15,0.11065757994823491,1.0,0.0,0.85,1.0
3,3,0.0,0.3,0.1,40,0.375,0.15003124674546964,0.8166666666666667,0.08627340262212914,0.6,0.975
1,3,0.3,0.0,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,3,0.3,0.0,0.0,40,0.275,0.1383762082151408,0.7916666666666667,0.10757084229060916,0.625,0.9
1,3,0.3,0.0,0.1,40,0.15,0.11065757994823491,1.0,0.0,0.85,1.0
3,3,0.3,0.0,0.1,40,0.35,0.14781441066418388,0.8166666666666667,0.09509872063632963,0.6,0.95
1,3,0.3,0.3,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,3,0.3,0.3,0.0,40,0.4,0.15182094717133074,0.8333333333333334,0.07661012407711601,0.575,0.975
1,3,0.3,0.3,0.1,40,0.125,0.10249085325042426,1.0,0.0,0.875,1.0
3,3,0.3,0.3,0.1,40,0.275,0.1383762082151408,0.8666666666666666,0.08264085618573364,0.7,0.975
1,3,0.6,0.0,0.0,40,0.275,0.1383762082151408,1.0,0.0,0.725,1.0
3,3,0.6,0.0,0.0,40,0.3,0.1420154921126565,0.7666666666666666,0.10883443082652351,0.6,0.9
1,3,0.6,0.0,0.1,40,0.275,0.1383762082151408,1.0,0.0,0.725,1.0
3,3,0.6,0.0,0.1,40,0.45,0.15417490068101228,0.775,0.10929306931365779,0.425,0.875
1,3,0.6,0.3,0.0,40,0.125,0.10249085325042426,1.0,0.0,0.875,1.0
3,3,0.6,0.3,0.0,40,0.25,0.1341920265887657,0.8916666666666666,0.08129833604966616,0.7,0.95
1,3,0.6,0.3,0.1,40,0.3,0.1420154921126565,1.0,0.0,0.7,1.0
3,3,0.6,0.3,0.1,40,0.475,0.1547577946340668,0.7333333333333332,0.11823347899624519,0.375,0.85
5,3,0.0,0.0,0.0,20,0.6,0.2147072425420251,0.5833333333333333,0.17208234462992805,0.2,0.8
5,3,0.0,0.0,0.1,20,0.35,0.2090411442754751,0.6333333333333333,0.1954547972749141,0.35,0.7
5,3,0.0,0.3,0.0,20,0.3,0.20084023501280812,0.5666666666666667,0.20190008530073592,0.35,0.65
5,3,0.0,0.3,0.1,20,0.45,0.2180362355206125,0.9,0.08133934404019305,0.55,1.0
5,3,0.3,0.0,0.0,20,0.35,0.2090411442754751,0.8166666666666667,0.15649345034217882,0.5,0.85
5,3,0.3,0.0,0.1,20,0.5,0.21913466179497937,0.55,0.19749154693584006,0.15,0.65
5,3,0.3,0.3,0.0,20,0.6,0.2147072425420251,0.7833333333333333,0.1246052433353696,0.35,0.95
5,3,0.3,0.3,0.1,20,0.35,0.2090411442754751,0.8166666666666667,0.13448990048822748,0.6,0.95
5,3,0.6,0.0,0.0,20,0.2,0.17530772943598355,0.7333333333333333,0.1882235078009357,0.55,0.75
5,3,0.6,0.0,0.1,20,0.65,0.2090411442754751,0.5499999999999999,0.18055537777769026,0.05,0.7
5,3,0.6,0.3,0.0,20,0.2,0.17530772943598355,0.8333333333333333,0.14969747270189074,0.7,0.9
5,3,0.6,0.3,0.1,20,0.3,0.20084023501280812,0.75,0.17817563120571664,0.5,0.8
1,4,0.0,0.0,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,4,0.0,0.0,0.0,40,0.475,0.1547577946340668,0.75625,0.10886315234044988,0.425,0.9
1,4,0.0,0.0,0.1,40,0.125,0.10249085325042426,1.0,0.0,0.875,1.0
3,4,0.0,0.0,0.1,40,0.375,0.15003124674546964,0.71875,0.10421503460393802,0.525,0.9
1,4,0.0,0.3,0.0,40,0.05,0.06754183888524208,1.0,0.0,0.95,1.0
3,4,0.0,0.3,0.0,40,0.4,0.15182094717133074,0.9125,0.056270051981493666,0.6,1.0
1,4,0.0,0.3,0.1,40,0.125,0.10249085325042426,1.0,0.0,0.875,1.0
3,4,0.0,0.3,0.1,40,0.35,0.14781441066418388,0.80625,0.10025186251387053,0.575,0.925
1,4,0.3,0.0,0.0,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,4,0.3,0.0,0.0,40,0.35,0.14781441066418388,0.70625,0.11345312220252027,0.525,0.875
1,4,0.3,0.0,0.1,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,4,0.3,0.0,0.1,40,0.425,0.15319848236846212,0.85,0.08627340262212914,0.525,0.95
1,4,0.3,0.3,0.0,40,0.075,0.08162582311989265,1.0,0.0,0.925,1.0
3,4,0.3,0.3,0.0,40,0.4,0.15182094717133074,0.91875,0.06338709204167675,0.575,0.975
1,4,0.3,0.3,0.1,40,0.075,0.08162582311989265,1.0,0.0,0.925,1.0
3,4,0.3,0.3,0.1,40,0.375,0.15003124674546964,0.7875,0.09575394900472774,0.6,0.975
1,4,0.6,0.0,0.0,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,4,0.6,0.0,0.0,40,0.475,0.1547577946340668,0.83125,0.09859157386663424,0.425,0.9
1,4,0.6,0.0,0.1,40,0.275,0.1383762082151408,1.0,0.0,0.725,1.0
3,4,0.6,0.0,0.1,40,0.475,0.1547577946340668,0.68125,0.13192231970936533,0.3,0.775
1,4,0.6,0.3,0.0,40,0.175,0.11775302543883956,1.0,0.0,0.825,1.0
3,4,0.6,0.3,0.0,40,0.3,0.1420154921126565,0.88125,0.08306096217538056,0.65,0.95
1,4,0.6,0.3,0.1,40,0.225,0.12941010393319372,1.0,0.0,0.775,1.0
3,4,0.6,0.3,0.1,40,0.325,0.14515086978726652,0.8,0.10984090768015349,0.55,0.875
5,4,0.0,0.0,0.0,20,0.3,0.20084023501280812,0.4625,0.1937669669990218,0.3,0.6
5,4,0.0,0.0,0.1,20,0.4,0.2147072425420251,0.4625,0.1874690307757524,0.2,0.6
5,4,0.0,0.3,0.0,20,0.5,0.21913466179497937,0.7375,0.14484038628780305,0.45,0.95
5,4,0.0,0.3,0.1,20,0.5,0.21913466179497937,0.775,0.1545637408967575,0.4,0.9
5,4,0.3,0.0,0.0,20,0.5,0.21913466179497937,0.475,0.17633193131137648,0.15,0.65
5,4,0.3,0.0,0.1,20,0.6,0.2147072425420251,0.7375,0.1406351218579484,0.4,1.0
5,4,0.3,0.3,0.0,20,0.35,0.2090411442754751,0.7875,0.15601326065434307,0.5,0.85
5,4,0.3,0.3,0.1,20,0.35,0.2090411442754751,0.7875,0.15981438452154426,0.5,0.85
5,4,0.6,0.0,0.0,20,0.3,0.20084023501280812,0.6875,0.17624680848174243,0.5,0.8
5,4,0.6,0.0,0.1,20,0.5,0.21913466179497937,0.775,0.17633193131137648,0.3,0.8
5,4,0.6,0.3,0.0,20,0.55,0.2180362355206125,0.725,0.1583996527773972,0.4,0.95
5,4,0.6,0.3,0.1,20,0.25,0.18977618396416343,0.7875,0.16715752301347372,0.6,0.85
